openTime,open,high,low,close,volumn,closeTime,quote_volumn,trades,taker_base_volumn,taker_quote_volumn,ignore
2020-10-15,10.00000000,430.00000000,10.00000000,62.54180000,1083589.84000000,1602806399999,71986882.81039000,170124,530923.14000000,35391589.38389500,0
2020-10-16,62.59020000,75.87250000,38.83020000,44.34800000,1696876.76000000,1602892799999,94610024.24673400,240258,806748.36000000,45227095.14552200,0
2020-10-17,44.35120000,50.62730000,40.33250000,42.24000000,672950.78000000,1602979199999,30288097.44380300,107899,330452.82000000,14874965.90958600,0
2020-10-18,42.23640000,42.31360000,31.77220000,32.40490000,593629.16000000,1603065599999,21712478.07431100,76375,309192.97000000,11299162.30820100,0
2020-10-19,32.35690000,35.00000000,29.93210000,33.97550000,814098.46000000,1603151999999,25991803.42660300,83389,398467.17000000,12734604.97031300,0
2020-10-20,33.92030000,34.00000000,30.17830000,31.17500000,310168.39000000,1603238399999,10001257.44452600,35304,146198.19000000,4712061.19763700,0
2020-10-21,31.12930000,31.88750000,26.50130000,26.50280000,455344.06000000,1603324799999,13417064.61069000,49170,226917.15000000,6708966.84469000,0
2020-10-22,26.51970000,26.83620000,22.60000000,23.73900000,703079.84000000,1603411199999,17508966.35580300,73427,375889.95000000,9377109.98414700,0
2020-10-23,23.70700000,25.70000000,20.60230000,23.87710000,832249.99000000,1603497599999,19176249.76563800,78476,438090.45000000,10132358.41123500,0
2020-10-24,23.88060000,26.73460000,22.25700000,25.80760000,772683.60000000,1603583999999,18735062.90944700,73888,402521.56000000,9769994.61670100,0
2020-10-25,25.76720000,39.77770000,25.33860000,38.66630000,1500278.48000000,1603670399999,49366340.64633200,165546,766705.34000000,25164804.01783700,0
2020-10-26,38.78260000,40.89390000,31.97950000,33.78870000,1061248.86000000,1603756799999,39141633.19381500,128602,528920.66000000,19479303.84317400,0
2020-10-27,33.85400000,37.90000000,32.60560000,35.16930000,571656.41000000,1603843199999,19941373.36834500,74414,292992.31000000,10227372.65411700,0
2020-10-28,35.15060000,36.50000000,32.63090000,33.61610000,552030.18000000,1603929599999,18890620.85395300,63240,265197.57000000,9079791.68394700,0
2020-10-29,33.57820000,34.18360000,31.80010000,32.52000000,614406.89000000,1604015999999,20324040.30730800,54548,308537.52000000,10207734.79992400,0
2020-10-30,32.52000000,32.52000000,28.56770000,29.21750000,956640.96000000,1604102399999,28855090.04756000,87376,511211.78000000,15404322.90940900,0
2020-10-31,29.21730000,32.43100000,28.13060000,31.28480000,677740.01000000,1604188799999,20485494.02452800,68680,367039.96000000,11084592.78178500,0
2020-11-01,31.31960000,31.88770000,30.59750000,31.60760000,334260.05000000,1604275199999,10404439.59040800,35991,191405.72000000,5960835.09304800,0
2020-11-02,31.56450000,31.97820000,29.36000000,29.64010000,661737.85000000,1604361599999,19997634.97780200,64365,365151.56000000,11033607.46422300,0
2020-11-03,29.62540000,29.68500000,27.90810000,28.83640000,603170.03000000,1604447999999,17239091.43490000,51948,321218.36000000,9171427.24276600,0
2020-11-04,28.83860000,29.53250000,28.16680000,28.89670000,549375.41000000,1604534399999,15782367.98445600,134836,285067.60000000,8192109.64299000,0
2020-11-05,28.89790000,30.25220000,28.38530000,29.35440000,628207.45000000,1604620799999,18343809.94238200,77941,336239.09000000,9812060.56726100,0
2020-11-06,29.35180000,33.30000000,29.17610000,31.68010000,1324665.71000000,1604707199999,41300301.49791300,95078,653422.79000000,20332600.36669000,0
2020-11-07,31.70160000,33.32490000,29.32750000,29.93560000,1342540.77000000,1604793599999,41997758.58860400,101487,682405.48000000,21347482.86278300,0
2020-11-08,29.93550000,31.19020000,29.59150000,30.75880000,356552.66000000,1604879999999,10863952.17371200,34960,176750.56000000,5384169.25612900,0
2020-11-09,30.75880000,32.39920000,30.33320000,31.21880000,678300.25000000,1604966399999,21222399.24702300,51430,349228.77000000,10930874.37889800,0
2020-11-10,31.21160000,31.31650000,30.28520000,30.36140000,711348.49000000,1605052799999,21906204.86501400,65079,415849.26000000,12812031.57968600,0
2020-11-11,30.36140000,30.96540000,29.84570000,30.09390000,553179.49000000,1605139199999,16858450.07135600,37492,274141.88000000,8354517.90286500,0
2020-11-12,30.10950000,30.33380000,28.66670000,29.49520000,602392.94000000,1605225599999,17883669.83810300,53327,297660.34000000,8841151.11751200,0
2020-11-13,29.48510000,30.05070000,29.08470000,29.15500000,432455.91000000,1605311999999,12758838.31675200,37889,229213.36000000,6762218.64377500,0
2020-11-14,29.16000000,29.46850000,28.47310000,29.27530000,504114.99000000,1605398399999,14588166.37970200,46689,269304.48000000,7790991.22025200,0
2020-11-15,29.28250000,29.34470000,27.44130000,27.73060000,534821.82000000,1605484799999,15203645.00318400,45944,259689.94000000,7387629.24413600,0
2020-11-16,27.73060000,28.01600000,27.18390000,27.44800000,603708.65000000,1605571199999,16679885.62940300,51258,329551.97000000,9106077.97484600,0
2020-11-17,27.44140000,30.01670000,27.32920000,29.11100000,874683.52000000,1605657599999,25253788.65973400,73453,435557.38000000,12572303.11684900,0
2020-11-18,29.10680000,29.79110000,27.72130000,28.82060000,779951.97000000,1605743999999,22437842.23737600,57958,388646.40000000,11186848.50707600,0
2020-11-19,28.82020000,29.33980000,28.38210000,28.83260000,369770.07000000,1605830399999,10671472.47000300,31926,177974.76000000,5135510.61130000,0
2020-11-20,28.84520000,30.00000000,28.73140000,29.05160000,625457.86000000,1605916799999,18306391.06927300,66522,311837.38000000,9126562.79745100,0
2020-11-21,29.04970000,31.14520000,28.80750000,29.93690000,1071209.41000000,1606003199999,31819775.47423300,83887,527089.31000000,15655166.93695500,0
2020-11-22,29.93690000,30.21870000,28.58730000,28.93820000,685662.82000000,1606089599999,20066235.62530200,66995,354725.45000000,10388563.85760400,0
2020-11-23,28.92790000,29.48000000,28.73140000,29.18320000,528273.79000000,1606175999999,15366405.28738600,48613,289969.97000000,8434148.22138400,0
2020-11-24,29.18560000,31.00000000,29.00020000,29.77570000,1081887.21000000,1606262399999,32258095.00405400,75175,542739.20000000,16174442.25530000,0
